U1132843960001980000906499800200000123123123AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL        
A220250411DINHEIRO                 1000000000400000000000000000000000000
A220250414DINHEIRO                 1000000001500000000000000000000000000
A220250415DINHEIRO                 1000000000600000000000000000000000000
A220250512DINHEIRO                 1000000002300000000000000000000000000
A220250514DINHEIRO                 1000000003700000000000000000000000000
A220250515DINHEIRO                 1000000003900000000000000000000000000
A220250520DINHEIRO                 1000000010500000000000000000000000000
A220250529DINHEIRO                 1000000000200000000000000000000000000
P21328439600019800000000000635000000038089324GLIFOSATO POTENSATO 20 LT                         LT    ATN180000000000000100
P21328439600019800000000000636000000038089324GLIFOSATO SHADOW 1 LT                             LT    ATN180000000000000100
P21328439600019800000000000637000000038089324GLIFOSATO SHADOW 20LT                             LT    ATN180000000000000100
P21328439600019800000000000638000000038089324GLIFOSATO SHADOW 5LT                              LT    ATN180000000000000100
P21328439600019800000000000639000000038089329GLI-UP 720 WG - 05KG                              KG    ATN180000000000000100
P21328439600019800000000000640000000038089329GLYPHOTAL TR 720 - 20LT                           LT    ATN180000000000000100
P21328439600019800000000000641000000031052000GRAAN-K 5 KG                                      KG    ATN180000000000000100
P21328439600019800000000000642000000025041000GRAFITE 01KG                                      KG    ATN180000000000000100
P21328439600019800000000000643000000025041000GRAFITE 05KG                                      KG    ATN180000000000000100
P21328439600019800000000000644000000038089325GRAMOCIL 05LT                                     LT    ATN180000000000000100
P21328439600019800000000000645000000038089325GRAMOCIL 20LT                                     LT    ATN180000000000000100
P21328439600019800000000000646000000038089325GRAMOXONE 200 05LT                                LT    ATN180000000000000100
P21328439600019800000000000647000000038089325GRAMOXONE 200 20LT                                LT    ATN180000000000000100
P21328439600019800000000000648000000031052000GRAN-K - K 5X5 KG                                 KG    ATN180000000000000100
P21328439600019800000000000649000000031029000GRANO K TM- 20L                                   LT    ATN180000000000000100
P21328439600019800000000000650000000031059090GREEN IMMUNET 01LT                                LT    ATN180000000000000100
P21328439600019800000000000651000000031059090GREEN IMMUNET 05LT                                LT    ATN180000000000000100
P21328439600019800000000000652000000038089329HEAT FR 350 GR                                    KG    ATN180000000000000100
P21328439600019800000000000653000000038089329HELMOQUAT 20LT                                    LT    ATN180000000000000100
P21328439600019800000000000654000000038089329HELMOXONE 200 05LT                                LT    ATN180000000000000100
P21328439600019800000000000655000000038089329HELMOXONE 200 20 LT                               LT    ATN180000000000000100
P21328439600019800000000000656000000038089299HELMSTAR PLUS 05LT                                LT    ATN180000000000000100
P21328439600019800000000000657000000038089999HELPER AIR ADJUVANTE 1LT                          LT    ATN180000000000000100
P21328439600019800000000000658000000038089999HELPER DESSEK ADJ 01LT                            LT    ATN180000000000000100
P21328439600019800000000000659000000038089999HELPER NEUTRUM 01LT                               LT    ATN180000000000000100
P21328439600019800000000000660000000038089197HELPER NEUTRUM 1 LT                               LT    ATN180000000000000000
P21328439600019800000000000661000000038089199HELYMAX EC 1LT                                    LT    ATN180000000000000100
P21328439600019800000000000662000000038089322HERB 2,4 D NORTOX - 20LT                          LT    ATN180000000000000100
P21328439600019800000000000663000000038089329HERB TRUPER 01 LT                                 LT    ATN180000000000000100
P21328439600019800000000000664000000038089329HERB. PARAQUAT GRAMOXONE 5 LT                     LT    ATN180000000000000100
P21328439600019800000000000665000000038089329HERB. PLANADOR XT 01LT                            LT    ATN180000000000000100
P21328439600019800000000000666000000038089321HERBITRIN 500 BR 05 LT                            LT    ATN180000000000000100
P21328439600019800000000000667000000038089323HERBITRIN 500 BR 20 LT                            LT    ATN180000000000000100
P21328439600019800000000000668000000038089323HERBIZINA PLUS 900 WG 10 KG (ATRAZINA)            KG    ATN180000000000000100
P21328439600019800000000000669000000038089323HERBZINA PLUS- 10KG                               KG    ATN180000000000000100
P21328439600019800000000000670000000038089199HERO 01LT                                         LT    ATN180000000000000100
P21328439600019800000000000671000000038089199HERO 05LT                                         LT    ATN180000000000000100
P21328439600019800000000000672000000034029029HOEFIX EC279 05LT                                 LT    ATN180000000000000100
P21328439600019800000000000673000000031055900HOLD 05LT                                         LT    ATN180000000000000100
P21328439600019800000000000674000000031055900HOLD 20LT                                         LT    ATN180000000000000100
P21328439600019800000000000675000000031029000HORUS 5LT                                         LT    ATN180000000000000100
P21328439600019800000000000676000000031025011HULK 01LT                                         LT    ATN180000000000000100
P21328439600019800000000000677000000031029000HUMAKELP 20 LTS                                   LT    ATN180000000000000100
P21328439600019800000000000678000000031029000HUMAKELP 5 LTS                                    LT    ATN180000000000000100
P21328439600019800000000000679000000038089329HUSSAR WG20 600GR                                 KG    ATN180000000000000100
P21328439600019800000000000680000000031052000ICON COOPER 2LT                                   LT    ATN180000000000000100
P21328439600019800000000000681000000031052000ICON COPPER 2LT                                   LT    ATN180000000000000100
P21328439600019800000000000682000000031052000ICON MANGANES 2LT                                 LT    ATN180000000000000100
P21328439600019800000000000683000000031052000ICON MANGANES 5 LT                                LT    ATN180000000000000100
P21328439600019800000000000684000000031021090ICON ZINC 2LT                                     LT    ATN180000000000000100
P21328439600019800000000000685000000031052000ICON ZMC PLUS TS 2LT                              LT    ATN180000000000000100
P21328439600019800000000000686000000038089999IHAROL GOLD 05 LT                                 LT    ATN180000000000000100
P21328439600019800000000000687000000038089999IHAROL GOLD 20 LT                                 LT    ATN180000000000000100
P21328439600019800000000000688000000038089324IMAZAQUIM ULTRA NORTOX 05LT                       LT    ATN180000000000000000
P21328439600019800000000000689000000038089327IMAZETAPIR PLUS NORTOX 05LT                       LT    ATN180000000000000100
P21328439600019800000000000690000000038089199IMIDACLOPRID 600 01LT                             LT    ATN180000000000000100
P21328439600019800000000000691000000038089199IMIDACLOPRID NORTOX 01LT                          LT    ATN180000000000000100
P21328439600019800000000000692000000038089199IMIDACLOPRID NORTOX 05LT                          LT    ATN180000000000000100
P21328439600019800000000000693000000038089199IMIDACLOPRID NORTOX 10LT                          LT    ATN180000000000000100
P21328439600019800000000000694000000031052000IMPROVER RN 05LT                                  LT    ATN180000000000000100
P21328439600019800000000000695000000038089199IMUNIT 01LT                                       LT    ATN180000000000000100
P21328439600019800000000000696000000038089299INFINITO SC687,5 01 LT                            LT    ATN180000000000000100
P21328439600019800000000000697000000038089299INFINITO SC687,5 500ML                            LT    ATN180000000000000100
P21328439600019800000000000698000000030029099INOC ADHERE 60 BE 1X25 DS                         KG    ATN180000000000000100
P21328439600019800000000000699000000030029099INOC ALADIN PLUS NOD 20 DS                        LT    ATN180000000000000100
P21328439600019800000000000700000000030029099INOC BIOMA RHYZO FEIJAO 15 DOSES                  LT    ATN180000000000000100
P21328439600019800000000000701000000030029099INOC BRASILEC TS IN-BOX 1X10 DS                   KG    ATN180000000000000000
P21328439600019800000000000702000000030029099INOC BRASILEC TS ON-TIME 1X15 DS                  LT    ATN180000000000000100
P21328439600019800000000000703000000030029099INOC BRASILEC TS ON-TIME 1X30 DS                  LT    ATN180000000000000100
P21328439600019800000000000704000000030029099INOC CROPBIO AZO LIQ 15 DS                        LT    ATN180000000000000100
P21328439600019800000000000705000000030029099INOC CROPBIO FEIJAO LIQ 15 DS                     LT    ATN180000000000000100
P21328439600019800000000000706000000030029099INOC CROPBIO PHOS LIQ 15 DS                       LT    ATN180000000000000100
P21328439600019800000000000707000000030029099INOC CROPBIO PHOS LIQ 30 DS                       LT    ATN180000000000000100
P21328439600019800000000000708000000031059090INOC CROPBIO SOJA LIQ 30 DS                       LT    ATN180000000000000100
P21328439600019800000000000709000000030029099INOC CROPBIO TURFA 10 DS                          KG    ATN180000000000000100
P21328439600019800000000000710000000030029099INOC GELFIX 5 BE SOJA - 3LT - 30DOSES             LT    ATN180000000000000100
P21328439600019800000000000711000000030029099INOC GELFIX 5 SOYBEAN LIQ 01LT (10DOS)            LT    ATN180000000000000100
P21328439600019800000000000712000000030029099INOC GELFIX 5 SOYBEAN LIQ 03LT (30 DOS)           LT    ATN180000000000000100
P21328439600019800000000000713000000030029099INOC GRAMMY CROP IN BOX TURFA 1X6 DS              KG    ATN180000000000000100
P21328439600019800000000000714000000030029099INOC GRAMMY CROP LIQUIDO 1X15 DS                  LT    ATN180000000000000100
P21328439600019800000000000715000000030029099INOC KIT TEC TAS ON-FARM NOD+PTG 1X30 DS          KG    ATN180000000000000100
P21328439600019800000000000716000000030029099INOC LIQUIDO AZUSPIRILLUM                         LT    ATN180000000000000100
P21328439600019800000000000717000000030029099INOC LIQUIDO FEIJAO 15 DOSES                      LT    ATN180000000000000100
P21328439600019800000000000718000000030029099INOC MASTERFIX L GRAMINEAS 05DOSES                LT    ATN180000000000000100
P21328439600019800000000000719000000030029099INOC MASTERFIX L GRAMINEAS 1X15DOSES              LT    ATN180000000000000100
P21328439600019800000000000720000000030029099INOC MASTERFIX L PREMIER                          LT    ATN180000000000000100
P21328439600019800000000000721000000031029000INOC MASTERFIX L PREMIER 20LT                     LT    ATN180000000000000100
P21328439600019800000000000722000000030029099INOC MASTERFIX L SOJA 15DOSES                     LT    ATN180000000000000100
P21328439600019800000000000723000000030029099INOC MASTERFIX TURFA FEIJAO 5DOSES                KG    ATN180000000000000100
P21328439600019800000000000724000000030029099INOC MASTERFIX TURFA SOJA 5 DOSES                 KG    ATN180000000000000100
P21328439600019800000000000725000000030029099INOC MR. BEAN FEIJAO TURFA 7 DS                   KG    ATN180000000000000000
P21328439600019800000000000726000000030029099INOC NITRO1000 LIQUIDO COINOCULACAO AZOSPIRILLUM 1LT    ATN180000000000000100
P21328439600019800000000000727000000030029099INOC NITRO1000 LIQUIDO SOJA 15DOSES               LT    ATN180000000000000100
P21328439600019800000000000728000000030029099INOC NITRO1000 TURFA SOJA 5DOSES                  KG    ATN180000000000000100
P21328439600019800000000000729000000030029099INOC PARA SILAGEM 11C33                           KG    ATN180000000000000100
P21328439600019800000000000730000000030029099INOC SOJA FORT TURFA IN BOX 1X5 DS                KG    ATN180000000000000100
P21328439600019800000000000731000000030029099INOC SOJA TOT NITRO FULL 15 DOSES                 LT    ATN180000000000000100
P21328439600019800000000000732000000031059090INOC STARFIX FEIJAO 30 DS                         LT    ATN180000000000000100
P21328439600019800000000000733000000030029099INOC TOTAL NITRO ULTRA SOJA TURFA 07 DS           KG    ATN180000000000000100
P21328439600019800000000000734000000030029099INOC TURFA FEIJAO 5 DOSES                         KG    ATN180000000000000100
P21328439600019800000000000735000000030029099INOC,  PARA SOJA NITRO 1000 15DOSES               LT    ATN180000000000000100
P21328439600019800000000000736000000030029099INOC. ADHERE 60 BE 300 DS - 1.5KG                 KG    ATN180000000000000100
P21328439600019800000000000737000000030029099INOC. AZOTOTAL MAX SOJA - 1.5KG                   KG    ATN180000000000000100
P21328439600019800000000000738000000030029099INOC. BASFOLIAR NITROMAX SOJA  LIQUIDO (15 DOSES) LT    ATN180000000000000100
P21328439600019800000000000739000000030029099INOC. BASFOLIAR NITROMAX SOJA TURFOSO (5 DOSES)   KG    ATN180000000000000100
P21328439600019800000000000740000000030029099INOC. BIOMA BRADY SOJA LIQUIDO 10 DOSES           LT    ATN180000000000000100
P21328439600019800000000000741000000030029099INOC. BIOMA BRADY TURFOSO 12 DOSES                KG    ATN180000000000000100
P21328439600019800000000000742000000030029099INOC. BIOMA MAIS LIQUIDO MILHO 20 DOSES           LT    ATN180000000000000100
P21328439600019800000000000743000000030029099INOC. BIOMA MAIS TURFOSO (MILHO E TRIGO) 9 DOSES  KG    ATN180000000000000100
P21328439600019800000000000744000000030029099INOC. BIOMA PHOS MILHO 1 LT                       LT    ATN180000000000000100
P21328439600019800000000000745000000030029099INOC. BIOMA PHOS MILHO 2LT                        LT    ATN180000000000000100
P21328439600019800000000000746000000030029099INOCULANTE LIQUIDO CROPBIO 30DS                   LT    ATN180000000000000100
P21328439600019800000000000747000000030029099INOCULANTE NITRO1000- 15DS                        LT    ATN180000000000000100
P21328439600019800000000000748000000030029099INOCULANTE STARFIX SOJA 3 LITROS 50 DOSES         LT    ATN180000000000000000
P21328439600019800000000000749000000030029099INOCULANTE STARFIX SOJA 3LT (36 DOSES)            LT    ATN180000000000000100
P21328439600019800000000000750000000030029099INOCULANTE TURFOSO CROPBIO 10DS                   KG    ATN180000000000000100
P21328439600019800000000000751000000038089199INS. MUCH 600FS ML TOX,III 1 LT                   LT    ATN180000000000000000
P21328439600019800000000000752000000038089199INTEPRID 240 SC 05LT                              LT    ATN180000000000000100
P21328439600019800000000000753000000038089299JUNO 05LT                                         LT    ATN180000000000000100
P21328439600019800000000000754000000031055100K-54 FOSFITO DE POTASSIO 5LT                      LT    ATN180000000000000100
P21328439600019800000000000755000000038089199KAISO 250 CS 01LT                                 LT    ATN180000000000000100
P21328439600019800000000000756000000038089199KAISO 250 CS 05LT                                 LT    ATN180000000000000100
P21328439600019800000000000757000000038089299KASUMIN 01LT                                      LT    ATN180000000000000100
P21328439600019800000000000758000000038089299KASUMIN 05LT                                      LT    ATN180000000000000100
P21328439600019800000000000759000000029224920KELLUS COPPER 3KG                                 KG    ATN180000000000000100
P21328439600019800000000000760000000031056000KELLUS IMUNE 04KG                                 KG    ATN180000000000000100
P21328439600019800000000000761000000031039090KELLUS INOX RN 3KG                                KG    ATN180000000000000100
P21328439600019800000000000762000000031051000K-FOL 01KG                                        KG    ATN180000000000000100
P21328439600019800000000000763000000031051000K-FOL 10KG                                        KG    ATN180000000000000100
P21328439600019800000000000764000000062102000KIT DE PROTECAO TRAT. BAGUM AZ (PVC)              UN    ATN180000000000000100
P21328439600019800000000000765000000062102000KIT DE PROTECAO TRAT. BAGUM AZ (PVC) - S/ AVENTAL UN    ATN180000000000000000
P21328439600019800000000000766000000038089199KLORPAN 480CE 01LT                                LT    ATN180000000000000100
P21328439600019800000000000767000000038089199KLORPAN 480CE 10LT                                LT    ATN180000000000000100
P21328439600019800000000000768000000038089197KORINGA TR (OLEO MINERAL) 5LT                     LT    ATN180000000000000100
P21328439600019800000000000769000000031052000KRISTA K 12.00.43  25KG                           KG    ATN180000000000000100
P21328439600019800000000000770000000031052000KRISTA K 12.00.45  25KG                           KG    ATN180000000000000100
P21328439600019800000000000771000000031052000KRISTAFLEX LARANJA 08.10.40 25KG                  KG    ATN180000000000000100
P21328439600019800000000000772000000038089329KROLL 05LT                                        LT    ATN180000000000000100
P21328439600019800000000000773000000038089329KROMO 250 WG 500GR                                KG    ATN180000000000000100
P21328439600019800000000000774000000038089329KYRON 40SC 01LT                                   LT    ATN180000000000000100
P21328439600019800000000000775000000038089329KYRON 40SC 05LT                                   LT    ATN180000000000000100
P21328439600019800000000000776000000031028000LANGER DP 10LT                                    LT    ATN180000000000000100
P21328439600019800000000000777000000031028000LANGER DP 200 LT                                  LT    ATN180000000000000100
P21328439600019800000000000778000000031028000LANGER HF 01LT                                    LT    ATN180000000000000100
P21328439600019800000000000779000000031028000LANGER HF 05LT                                    LT    ATN180000000000000100
P21328439600019800000000000780000000031028000LANGER HF 500ML                                   LT    ATN180000000000000100
P21328439600019800000000000781000000038089199LANNATE BR 10LT                                   LT    ATN180000000000000100
P21328439600019800000000000782000000034029029LANZAR 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000783000000038089199LARVIN 800WP 01KG                                 KG    ATN180000000000000100
P21328439600019800000000000784000000038089199LESMICIDA CITROMAX RESISTENTE A UMIDADE 1KG       KG    ATN180000000000000100
P21328439600019800000000000785000000038089199LESMICIDA CITROMAX TRADICIONAL 1KG                KG    ATN180000000000000100
P21328439600019800000000000786000000038089329LIBERTY SL200 10LT                                LT    ATN180000000000000100
P21328439600019800000000000787000000031055900LIMPA-TANQUE OMEGA 1 LT                           LT    ATN180000000000000100
P21328439600019800000000000788000000038089199LOGIN 250 PC 01 KG                                KG    ATN180000000000000100
P21328439600019800000000000789000000031051000LOMBRICO K MAX 05LT                               LT    ATN180000000000000100
P21328439600019800000000000790000000031051000LOMBRICO K MAX 20LT                               LT    ATN180000000000000100
P21328439600019800000000000791000000039251000LONA SILO PRETA  BRANCO 8X50 REF:150              UN    ATN180000000000000100
P21328439600019800000000000792000000039251000LONA SILO PRETA BRANCO 6X100 REF:200              UN    ATN180000000000000100
P21328439600019800000000000793000000039251000LONA SILO PRETA BRANCO 6X50 REF:150               UN    ATN180000000000000100
P21328439600019800000000000794000000039251000LONA SILO PRETA BRANCO 6X50 REF:200               UN    ATN180000000000000100
P21328439600019800000000000795000000039251000LONA SILO PRETA BRANCO 8X100 REF:200              UN    ATN180000000000000100
P21328439600019800000000000796000000039251000LONA SILO PRETO BRANCO 8X50 REF: 200              UN    ATN180000000000000100
P21328439600019800000000000797000000039251000LONA SUPER SILO CAIXA EXTRA 10X50                 UN    ATN180000000000000100
P21328439600019800000000000798000000039251000LONA SUPER SILO CAIXA EXTRA 6X50                  UN    ATN180000000000000100
P21328439600019800000000000799000000039251000LONA SUPER SILO CAIXA EXTRA 8X50                  UN    ATN180000000000000100
P21328439600019800000000000800000000038089199LORSBAN 480BR 20LT                                LT    ATN180000000000000100
P21328439600019800000000000801000000085442000MADELESMA 20 KG                                   KG    ATN180000000000000100
P21328439600019800000000000802000000038089199MAESTRO FS 01LT (FIPRONIL)                        LT    ATN180000000000000100
P21328439600019800000000000803000000038089199MAESTRO FS 05LT (FIPRONIL)                        LT    ATN180000000000000100
P21328439600019800000000000804000000038089293MANFIL 800 WP 01KG                                KG    ATN180000000000000100
P21328439600019800000000000805000000031059090MANGANES FULL ACQUA 20L                           LT    ATN180000000000000100
P21328439600019800000000000806000000084368000MAQUINA PARA APLICACAO DE BIOLOGICOS JR 50        UN    ATN180000000000000100
P21328439600019800000000000807000000031029000MASTERMINS 05LT                                   LT    ATN180000000000000100
P21328439600019800000000000808000000031029000MASTERMINS 20LT                                   LT    ATN180000000000000100
P21328439600019800000000000809000000031029000MASTERMINS MN 20LT                                LT    ATN180000000000000100
P21328439600019800000000000810000000031029000MAX LEG 01LT                                      LT    ATN180000000000000100
P21328439600019800000000000811000000038089299MAXIM XL 1LT                                      LT    ATN180000000000000100
P21328439600019800000000000812000000031021090MAXIMO 01LT                                       LT    ATN180000000000000100
P21328439600019800000000000813000000031021090MAXIMO 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000814000000031021090MAXIMO 200 LT                                     LT    ATN180000000000000100
P21328439600019800000000000815000000034029029MEES 05LT                                         LT    ATN180000000000000100
P21328439600019800000000000816000000038089999MEGATRON 20LT                                     LT    ATN180000000000000100
P21328439600019800000000000817000000038089299MERTIN 400 01LT                                   LT    ATN180000000000000100
P21328439600019800000000000818000000038089299MERTIN 400 05LT                                   LT    ATN180000000000000100
P21328439600019800000000000819000000038089299MERTIN 400 20LT                                   LT    ATN180000000000000100
P21328439600019800000000000820000000038089999METAREX SP  1KG                                   KG    ATN180000000000000100
P21328439600019800000000000821000000038089999METAREX SP 20KG                                   KG    ATN180000000000000100
P21328439600019800000000000822000000038089199METIE WG 200 GR                                   KG    ATN180000000000000100
P21328439600019800000000000823000000031029000MICROGEO 25KG                                     KG    ATN180000000000000100
P21328439600019800000000000824000000085442000MICROXISTO S MAX 20LT                             LT    ATN180000000000000100
P21328439600019800000000000825000000038089321MIRANT2,4 D - 20LT                                LT    ATN180000000000000100
P21328439600019800000000000826000000031029000MKL 05 LT - FERTILIZANTE                          LT    ATN180000000000000100
P21328439600019800000000000827000000038089359MODDUS 05 LT                                      LT    ATN180000000000000100
P21328439600019800000000000828000000038089299MOFOTIL 5 LT                                      LT    ATN180000000000000100
P21328439600019800000000000829000000031029000MOLIBOR- 1LT                                      LT    ATN180000000000000100
P21328439600019800000000000830000000031029000MOLIBOR- 20 LT                                    LT    ATN180000000000000100
P21328439600019800000000000831000000031029000MOLIBOR- 5LT                                      LT    ATN180000000000000100
P21328439600019800000000000832000000038089199MOLUSCICIDA MADE LESMA 20 KG                      KG    ATN180000000000000100
P21328439600019800000000000833000000038089199MOLUSCICIDA MADE LESMA GRANULADO KG               KG    ATN180000000000000100
P21328439600019800000000000834000000038089299MONARIS 05LT                                      LT    ATN180000000000000100
P21328439600019800000000000835000000038089299MONCEREN SC250 01LT                               LT    ATN180000000000000100
P21328439600019800000000000836000000031029000MOVER 20LT                                        LT    ATN180000000000000100
P21328439600019800000000000837000000031029000MOZIC- 01LT                                       LT    ATN180000000000000100
P21328439600019800000000000838000000031029000MOZIC- 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000839000000038089199MUCH 600 FS 05LT                                  LT    ATN180000000000000100
P21328439600019800000000000840000000038089199MUSTANG 350 EC 01LT                               LT    ATN180000000000000100
P21328439600019800000000000841000000038089299MYTHOS SC300 01LT                                 LT    ATN180000000000000100
P21328439600019800000000000842000000038089299NATIVO SC300 01LT                                 LT    ATN180000000000000100
P21328439600019800000000000843000000038089299NATIVO SC300 05LT                                 LT    ATN180000000000000100
P21328439600019800000000000844000000038089299NATIVO SC300 20LT                                 LT    ATN180000000000000100
P21328439600019800000000000845000000038089999NATUR'OLEO 05LT                                   LT    ATN180000000000000100
P21328439600019800000000000846000000038089999NATUR'OLEO 20LT                                   LT    ATN180000000000000100
P21328439600019800000000000847000000038089321NAVAJO 05KG                                       KG    ATN180000000000000100
P21328439600019800000000000848000000023099090NC CONFINAMENTO  MON "A" SC 30 KG                 SC    ATN180000000000000100
P21328439600019800000000000849000000038089329NICOSULFURON NORTOX 01LT                          LT    ATN180000000000000100
P21328439600019800000000000850000000038089999NIMBUS 20LT                                       LT    ATN180000000000000100
P21328439600019800000000000851000000031026000NITRATO YARA  32.02.00 BIG BAG 1000 KG            T     ATN180000000000000100
P21328439600019800000000000852000000031059090NITROFIX NTX N 21% 01LT                           LT    ATN180000000000000100
P21328439600019800000000000853000000031029000NITROPLUS 20LT                                    LT    ATN180000000000000100
P21328439600019800000000000854000000031051000NOBRICO STAR TS 01LT                              LT    ATN180000000000000100
P21328439600019800000000000855000000031051000NOBRICO STAR TS 05LT                              LT    ATN180000000000000100
P21328439600019800000000000856000000038089199NOMOLT 150 1LT                                    LT    ATN180000000000000100
P21328439600019800000000000857000000038089199NOMOLT 150 5LT                                    LT    ATN180000000000000100
P21328439600019800000000000858000000038089329NORTON 01 LT                                      LT    ATN180000000000000100
P21328439600019800000000000859000000038089329NORTON 05 LT                                      LT    ATN180000000000000100
P21328439600019800000000000860000000038089329NORTON 20 LT                                      LT    ATN180000000000000100
P21328439600019800000000000861000000023099090NUCLEO CONFINAMENTO CARA BRANCA SC 30KG           SC    ATN180000000000000100
P21328439600019800000000000862000000038089324NUFOSATE 20LT                                     LT    ATN180000000000000100
P21328439600019800000000000863000000038089324NUFOSATE WG 5 KG                                  KG    ATN180000000000000100
P21328439600019800000000000864000000038089329NUFURON 10GR                                      KG    ATN180000000000000100
P21328439600019800000000000865000000038089199NUPRID 700WG 01KG                                 KG    ATN180000000000000100
P21328439600019800000000000866000000038089199NUPRID 700WG SC 5KG                               KG    ATN180000000000000100
P21328439600019800000000000867000000038089325NUQUAT 20LT                                       LT    ATN180000000000000100
P21328439600019800000000000868000000031052000NUTRE BORO 05LT                                   LT    ATN180000000000000100
P21328439600019800000000000869000000031052000NUTRE BORO 20LT                                   LT    ATN180000000000000100
P21328439600019800000000000870000000031059090NUTRE COMO 05LT                                   LT    ATN180000000000000100
P21328439600019800000000000871000000031059090NUTRE COMO 1LT                                    LT    ATN180000000000000100
P21328439600019800000000000872000000031021090NUTRE FER 5LT                                     LT    ATN180000000000000100
P21328439600019800000000000873000000031052000NUTRE KS 20LT                                     LT    ATN180000000000000100
P21328439600019800000000000874000000031052000NUTRE KS 5LT                                      LT    ATN180000000000000100
P21328439600019800000000000875000000031052000NUTRE MANGANES 5LT                                LT    ATN180000000000000100
P21328439600019800000000000876000000031021090NUTRE MOL 01LT                                    LT    ATN180000000000000100
P21328439600019800000000000877000000031021090NUTRE MOL 5LT                                     LT    ATN180000000000000100
P21328439600019800000000000878000000031052000NUTRE OUTARD 20 LT                                LT    ATN180000000000000100
P21328439600019800000000000879000000031052000NUTRE OUTARD 5 LT                                 LT    ATN180000000000000100
P21328439600019800000000000880000000031059090NUTRIL BORO 20LT                                  LT    ATN180000000000000100
P21328439600019800000000000881000000038089199OBERON SC240 01LT                                 LT    ATN180000000000000100
P21328439600019800000000000882000000038089199OBERON SC240 05LT                                 LT    ATN180000000000000100
P21328439600019800000000000883000000038089197OLEO MIN. PRIME OIL DOMINUS 5 LITROS              LT    ATN180000000000000100
P21328439600019800000000000884000000038089119OLEO VEGETAL EC NORTOX 10LT                       LT    ATN180000000000000100
P21328439600019800000000000885000000038089299OPERA 01LT                                        LT    ATN180000000000000100
P21328439600019800000000000886000000038089299OPERA 05LT                                        LT    ATN180000000000000100
P21328439600019800000000000887000000038089299OPERA 10LT                                        LT    ATN180000000000000100
P21328439600019800000000000888000000038089299OPERA ULTRA 05LT                                  LT    ATN180000000000000100
P21328439600019800000000000889000000038089325ORANGE POWER 5 LITROS                             LT    ATN180000000000000100
P21328439600019800000000000890000000031052000ORGANIC WP 1 KG                                   KG    ATN180000000000000100
P21328439600019800000000000891000000031052000ORGANICO ORGANIC BLOOM 1LT                        LT    ATN180000000000000100
P21328439600019800000000000892000000038089197ORI-MIN 01 LT                                     LT    ATN180000000000000100
P21328439600019800000000000893000000038089197ORI-MIN 05 LT                                     LT    ATN180000000000000100
P21328439600019800000000000894000000038089197ORI-MIN 20LT                                      LT    ATN180000000000000100
P21328439600019800000000000895000000038089299ORKESTRA SC 01LT                                  LT    ATN180000000000000100
P21328439600019800000000000896000000038089299ORKESTRA SC 05LT                                  LT    ATN180000000000000100
P21328439600019800000000000897000000031051000ORO FAST 05LT                                     LT    ATN180000000000000100
P21328439600019800000000000898000000085442000ORO SOLVE 05LT                                    LT    ATN180000000000000100
P21328439600019800000000000899000000031051000ORO STAR 05LT                                     LT    ATN180000000000000100
P21328439600019800000000000900000000031021090OROBOR N1 01LT                                    LT    ATN180000000000000100
P21328439600019800000000000901000000031021090OROBOR N1 05LT                                    LT    ATN180000000000000100
P21328439600019800000000000902000000031021090OROBOR N1 200LT                                   LT    ATN180000000000000100
P21328439600019800000000000903000000031021090OROBOR N1 20LT                                    LT    ATN180000000000000100
P21328439600019800000000000904000000038089191ORTHENE 750BR 05KG HIDRO                          KG    ATN180000000000000100
P21328439600019800000000000905000000031052000OUT 01 KG                                         KG    ATN180000000000000100
P21328439600019800000000000906000000085442000OXICAL 01KG                                       KG    ATN180000000000000100
P21328439600019800000000000907000000031029000OXIMULT 1 LT                                      LT    ATN180000000000000100
P21328439600019800000000000908000000038089329PACTO 240GR                                       KG    ATN180000000000000100
P21328439600019800000000000909000000038089329PADRON 01LT                                       LT    ATN180000000000000100
P21328439600019800000000000910000000038089329PADRON 05 LT                                      LT    ATN180000000000000100
P21328439600019800000000000911000000038089329PADRON 20LT                                       LT    ATN180000000000000100
P21328439600019800000000000912000000038089329PANTHER 120 EC 05LT                               LT    ATN180000000000000100
P21328439600019800000000000913000000038089329PANZER 250WDG 300GR                               KG    ATN180000000000000100
P21328439600019800000000000914000000038089325PARADOX 20LT                                      LT    ATN180000000000000100
P21328439600019800000000000915000000038089325PARADOX 5LT                                       LT    ATN180000000000000100
P21328439600019800000000000916000000038089329PARAQUATE ALTA 200SL 20LT                         LT    ATN180000000000000100
P21328439600019800000000000917000000085442000PERIDIAM QUALITY 306 1000LT                       LT    ATN180000000000000100
P21328439600019800000000000918000000038089199PERITO 970SG WSP 5KG                              KG    ATN180000000000000100
P21328439600019800000000000919000000031029000PG MAX 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000920000000094034000PHOSFIX 01LT                                      LT    ATN180000000000000100
P21328439600019800000000000921000000031055900PHUSION PLANTE 09.40 + 15S - BB 1000KG            T     ATN180000000000000100
P21328439600019800000000000922000000031055900PHUSION PLANTE P 43 + B-MAX - BB 1000KG           T     ATN180000000000000100
